Word,Score
spues,30646
poles,30639
reaps,30633
years,30633
pasts,30631
fores,30628
cress,30624
demes,30621
hears,30618
thees,30615
capes,30610
soops,30609
oaves,30606
crass,30603
gears,30602
reams,30600
palas,30597
raits,30595
seifs,30591
razes,30589
muses,30579
roans,30579
serra,30579
sooms,30576
paces,30575
mires,30566
dotes,30565
sleds,30564
rails,30549
saine,30536
press,30526
cones,30526
taser,30524
sleer,30515
papes,30512
glees,30507
tines,30497
fetes,30496
rotas,30491
sikas,30487
nabes,30485
passe,30485
raxes,30476
peats,30468
desse,30464
moles,30456
raise,30449
masts,30448
buses,30446
lairs,30446
peels,30443
souts,30436
pones,30428
cotes,30424
peals,30422
cease,30420
malas,30414
teads,30410
hades,30404
anoas,30401
dries,30398
vales,30397
maces,30392
rajes,30391
souls,30390
gades,30388
lyses,30388
baels,30387
arris,30386
bedes,30375
sekts,30375
tarts,30373
deens,30372
paans,30372
tassa,30372
pests,30371
laser,30367
baals,30366
ureas,30359
asset,30357
deans,30351
cepes,30350
lures,30347
lines,30340
pelas,30337
ragas,30335
rezes,30329
potes,30326
robes,30324
susus,30324
boles,30323
cesse,30323
pease,30322
basts,30315
lodes,30312
meets,30306
ogees,30305
masse,30302
reeks,30298
rohes,30298
souse,30290
meats,30285
vises,30283
ratos,30282
balas,30281
reaks,30277
seine,30276
sorbs,30271
cages,30268
silts,30260
cries,30257
leads,30253
sooks,30253
ranis,30244
meals,30239
rains,30239
lites,30238
sorel,30237
abies,30233
rexes,30216
serai,30214
sills,30214
aerie,30203
manas,30203
haets,30202
hires,30202
solus,30201
memes,30199
bayes,30191
brass,30189
leirs,30186
rokes,30186
vanes,30186
almes,30185
naris,30175
beets,30173
pages,30170
basse,30169
salle,30168
shets,30167
tomes,30160
pries,30159
yedes,30159
melas,30154
beats,30152
skers,30149
eerie,30144
motes,30143
sojas,30141
mease,30139
veles,30137
seder,30136
peens,30133
solds,30133
reset,30131
skeos,30130
laves,30124
renos,30124
rides,30123
tolas,30115
terts,30113
bones,30112
peans,30112
beals,30106
doers,30099
debes,30096
hames,30095
holes,30092
soler,30084
games,30079
cakes,30077
slaps,30077
goles,30076
gasts,30068
liras,30068
carrs,30064
bests,30055
ainee,30049
rules,30048
daris,30046
slams,30044
slots,30043
syces,30041
galas,30034
feers,30030
topes,30030
spets,30029
kades,30027
aidas,30025
steds,30023
tarns,30017
botes,30010
fears,30009
spats,30008
lomes,30003
saned,29998
scats,29988
tapas,29988
mages,29987
spree,29983
reins,29979
sypes,29978
psoas,29975
steer,29974
moras,29973
airts,29971
terse,29967
parrs,29966
scree,29963
lamas,29961
dekes,29958
sayer,29952
aulas,29950
gapes,29949
saist,29946
grass,29942
seral,29935
stirs,29935
mabes,29934
sleys,29934
teems,29932
means,29929
tiers,29929
deros,29926
saran,29922
heats,29921
alans,29915
flees,29914
varas,29914
selfs,29913
slays,29913
teams,29911
selle,29908
tiars,29908
taits,29906
geats,29905
heels,29896
sated,29896
saola,29893
sneds,29883
hones,29881
heals,29875
riels,29875
lopes,29873
eater,29864
leves,29864
wears,29862
eared,29861
larns,29860
tails,29860
geals,29859
syens,29859
elans,29856
rials,29854
rarer,29851
bries,29843
acnes,29840
boras,29840
yests,29839
runes,29837
hemes,29835
sneer,29834
hests,29824
rimes,29814
gests,29808
leeps,29808
paris,29807
babes,29801
beans,29796
makes,29796
fades,29795
shans,29790
leaps,29787
taxes,29787
ceros,29785
geese,29780
slits,29779
sooey,29776
roads,29773
liers,29772
ramee,29768
sored,29768
scyes,29767
users,29763
janes,29761
nines,29761
terns,29757
leams,29754
rased,29752
liars,29751
tasks,29751
rices,29747
lazes,29743
sente,29743
slags,29740
pauas,29738
loans,29733
nodes,29733
tepas,29728
trues,29726
pekes,29719
kames,29718
eyras,29715
betas,29708
iotas,29708
rants,29706
tajes,29702
needs,29695
sleet,29693
nadas,29691
toges,29688
ripes,29684
swiss,29678
moers,29677
rheas,29676
etats,29671
aegis,29670
samps,29670
bakes,29663
gesse,29662
nites,29659
spans,29652
wades,29648
telos,29646
lotas,29645
dures,29639
yages,29638
casus,29635
dines,29632
scans,29632
laxes,29630
airns,29615
sager,29615
horas,29609
gages,29607
fuses,29606
piles,29604
teils,29600
atlas,29599
moues,29597
reate,29594
fires,29593
goras,29593
suits,29589
teaks,29588
yeans,29580
reefs,29574
soote,29570
class,29567
